t,eps_pm_med,eps_pm_q10,eps_pm_q90,score_med,score_q10,score_q90,excess_frac_med,mmse_floor_med,cos_med,p_gt_0p1,grid_selfconv_med
0.02,0.03551590864290893,0.0292603084441218,0.05164487239473023,0.3770377612640189,0.3017321221394952,0.5485662611998245,0.039283092753707886,0.03210746393250635,0.928507214248615,1.0,2.776667189827565e-05
0.032,0.04041522312608167,0.03403220692367266,0.057052463347924194,0.2996226470238291,0.24467288663355408,0.433553153512288,0.033827668668169594,0.0473457130486126,0.9564970663497483,1.0,1.695972126306048e-05
0.05,0.05035661042786249,0.03591559470488355,0.07881299818645235,0.2685746046145192,0.18605267913520998,0.4263200536753746,0.03877838005887225,0.06643114217028102,0.9635366601634975,1.0,1.1268782377623443e-05
0.0725,0.053311371733011884,0.038057615247867924,0.0814660249996671,0.199301359363085,0.1385760462306836,0.30489929168141444,0.03069518575804854,0.0893683280714368,0.9807550352366207,1.0,6.323078159394411e-06
0.1053,0.05019674056890461,0.03653405852736197,0.10032997250150182,0.14353257160356522,0.10870689225669171,0.32472982946696133,0.021019331245881227,0.11434699272189389,0.9916495449163731,0.9666666666666667,3.795882721698792e-06
0.1527,0.04252806177367189,0.034088771375584845,0.08515805898871531,0.10437634551703576,0.07992179619821228,0.186709932777446,0.01216333804028472,0.15063659478380217,0.995568612734083,0.55,1.8798942819005818e-06
0.2216,0.037763471748679736,0.032952292976175156,0.05757036177731912,0.06477416227924301,0.05094357277101905,0.09810958794090825,0.007391460359118395,0.193175422219185,0.9984688964934068,0.1,8.080393348120455e-07
0.3215,0.03291200436601355,0.026920160595295207,0.058605589099472936,0.041269004817313285,0.03093666314648905,0.06785435429462117,0.004292430539299081,0.25334191816184953,0.9992709699287887,0.05,5.114247185304227e-07
0.4665,0.029841373081067307,0.022935116783291885,0.07534139534014551,0.029745740117747367,0.02059861966007779,0.06991398333762272,0.0027761457748228754,0.3323057064572843,0.9996580117483738,0.016666666666666666,3.824634056394303e-07
0.6769,0.022211075888261825,0.018039905500028215,0.04313519708425637,0.015592779070256895,0.011161362526701097,0.02897752408501981,0.0011214511384084057,0.4375996216003749,0.9999024963394727,0.0,2.991222273548135e-07
0.9821,0.016111699196510856,0.011959054219381654,0.027795254204877193,0.007273589716554587,0.004929213699949797,0.012250062516245419,0.0004456753671947554,0.5844285510205816,0.9999783561674261,0.0,2.318107361036858e-07
1.425,0.007802466885376816,0.005096993735158557,0.018686215977076155,0.0020751604297656427,0.0013196621502030905,0.004443859554006267,7.929164744985039e-05,0.7636198291380313,0.9999981425136217,0.0,1.4816464762586234e-07
2.0676,0.0017947088192786398,0.0012526647043319909,0.0038202811857658563,0.00024232594284969198,0.00015735982735805463,0.00043790649934683944,3.508612842095851e-06,0.9162013769533531,0.9999999735430702,0.0,4.6005934616265445e-08
3.0,0.00014820304929245555,0.00010015781481176194,0.0002637705187906857,8.13105985059954e-06,5.1145118676942204e-06,1.2975902646055013e-05,2.2298242230312477e-08,0.9856330639218147,0.9999999999718249,0.0,7.98298567109014e-09
